Income per operation: 0.9750543320036406, income: 1.1185826181361135e-30, operation count: 2730, sucsessful operations percentage: 8.916, self_length: 5, after_length: 5, quantity: 3, min_profit: 0, probability_edge: 0.9. 
Income per operation: 0.9743136053489956, income: 3.745405648079485e-18, operation count: 1542, sucsessful operations percentage: 10.54, self_length: 5, after_length: 5, quantity: 3, min_profit: 0, probability_edge: 0.98. 
Income per operation: 0.9752641686731176, income: 2.599106972919874e-27, operation count: 2444, sucsessful operations percentage: 9.286, self_length: 5, after_length: 5, quantity: 3, min_profit: 5e-05, probability_edge: 0.9. 
Income per operation: 0.9744735633598959, income: 2.394173657646784e-16, operation count: 1391, sucsessful operations percentage: 10.761, self_length: 5, after_length: 5, quantity: 3, min_profit: 5e-05, probability_edge: 0.98. 
Income per operation: 0.9753730131739273, income: 1.9867969386607746e-22, operation count: 2004, sucsessful operations percentage: 9.841, self_length: 5, after_length: 5, quantity: 3, min_profit: 0.0001, probability_edge: 0.9. 
Income per operation: 0.9744155905105797, income: 1.6640489766544228e-15, operation count: 1313, sucsessful operations percentage: 10.484, self_length: 5, after_length: 5, quantity: 3, min_profit: 0.0001, probability_edge: 0.98. 
Income per operation: 0.9746489841220056, income: 3.5290840462297154e-21, operation count: 1834, sucsessful operations percentage: 8.84, self_length: 5, after_length: 5, quantity: 4, min_profit: 0, probability_edge: 0.9. 
Income per operation: 0.9739454786182791, income: 1.9787345549200433e-13, operation count: 1108, sucsessful operations percentage: 11.374, self_length: 5, after_length: 5, quantity: 4, min_profit: 0, probability_edge: 0.98. 
Income per operation: 0.9749052626913882, income: 8.20007999754185e-18, operation count: 1548, sucsessful operations percentage: 9.61, self_length: 5, after_length: 5, quantity: 4, min_profit: 5e-05, probability_edge: 0.9. 
Income per operation: 0.9741198125425455, income: 1.2648654356822894e-11, operation count: 957, sucsessful operations percentage: 11.823, self_length: 5, after_length: 5, quantity: 4, min_profit: 5e-05, probability_edge: 0.98. 
Income per operation: 0.9749595443204765, income: 6.268265987369862e-13, operation count: 1108, sucsessful operations percentage: 11.027, self_length: 5, after_length: 5, quantity: 4, min_profit: 0.0001, probability_edge: 0.9. 
